City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,rani,25.3503,73.3089,26.6,27,2,1.98,IN,1667397014
239,bilibino,68.0546,166.4372,-32.29,100,58,1.23,RU,1667397015
240,san cristobal,7.7669,-72.225,22.1,72,100,2.24,VE,1667397015
241,caravelas,-17.7125,-39.2481,22.7,97,100,3.32,BR,1667397016
242,kerema,-7.9631,145.7785,26.39,86,63,2.19,PG,1667397016
243,drayton valley,53.2168,-114.9854,-7.07,84,100,7.14,CA,1667397017
244,cabo san lucas,22.8909,-109.9124,22.51,74,0,5.14,MX,1667397017
245,hami,42.8,93.45,7.27,45,0,1.44,CN,1667397017
246,tiznit,29.5833,-9.5,28.36,17,57,4.21,MA,1667397018
247,severo-kurilsk,50.6789,156.125,5.92,92,100,6.24,RU,1667397018
248,maketu,-37.7667,176.45,18.2,99,100,4.91,NZ,1667397018
249,olinda,-8.0089,-34.8553,28.85,58,75,4.63,BR,1667397019
250,yakima,46.4665,-120.6678,0.69,90,4,2.16,US,1667397019
251,palmer,42.1584,-72.3287,15.66,77,3,2.49,US,1667397019
252,qaqortoq,60.7167,-46.0333,-5.06,72,5,2.03,GL,1667397020
253,saldanha,-33.0117,17.9442,20.88,67,22,4.05,ZA,1667397020
254,port antonio,18.18,-76.4612,27.22,72,86,2.54,JM,1667397020
255,norman wells,65.282,-126.8329,-14.98,72,40,7.2,CA,1667397020
256,kutum,14.2,24.6667,27.52,14,49,6.34,SD,1667397021
257,worland,44.0169,-107.9554,10.49,41,0,7.2,US,1667397021
258,taraz,42.9,71.3667,9.23,87,100,4.0,KZ,1667397021
259,soyo,-6.1349,12.3689,27.1,76,94,4.9,AO,1667396808
260,sambava,-14.2667,50.1667,24.76,71,8,3.96,MG,1667396941
261,gat,31.61,34.7642,23.38,16,5,5.04,IL,1667397022
262,victoria,22.2855,114.1577,21.25,92,100,8.49,HK,1667396975
263,mezen,65.8522,44.24,-1.94,89,29,1.62,RU,1667397023
264,kisangani,0.5167,25.2,27.57,67,70,1.46,CD,1667396842
265,uribia,11.7139,-72.266,29.94,67,100,9.9,CO,1667397023
266,quelimane,-17.8786,36.8883,27.97,78,75,6.26,MZ,1667397024
267,lander,42.833,-108.7307,11.45,25,0,10.29,US,1667397024
268,xichang,27.8964,102.2634,14.13,78,0,1.31,CN,1667397024
269,torbay,47.6666,-52.7314,12.09,94,100,10.29,CA,1667397025
270,san quintin,30.4833,-115.95,16.13,79,95,3.72,MX,1667397025
271,kharp,66.8014,65.8081,-10.06,94,100,1.05,RU,1667397025
272,kapoeta,4.7717,33.5903,32.31,34,74,7.39,SS,1667397025
273,peleduy,59.6289,112.7406,-4.77,64,100,5.63,RU,1667397026
274,halifax,44.6453,-63.5724,14.17,82,20,6.69,CA,1667396805
275,bogalusa,30.791,-89.8487,17.08,88,0,1.54,US,1667397026
276,kitimat,54.0524,-128.6534,0.21,29,9,1.81,CA,1667397026
277,san lazaro,18.0387,-88.6622,23.16,99,100,2.47,BZ,1667397027
278,yamada,39.4667,141.95,11.41,86,0,2.25,JP,1667397027
279,nouadhibou,20.931,-17.0347,25.49,47,0,1.64,MR,1667397027
280,valentin gomez farias,28.2167,-106.5833,10.66,41,76,1.59,MX,1667397027
281,tavda,58.0425,65.2726,4.09,74,100,4.7,RU,1667397028
282,lincoln,40.8,-96.667,16.74,67,0,7.72,US,1667397028
283,casper,42.8666,-106.3131,10.96,34,0,7.2,US,1667397028
284,ponta do sol,32.6667,-17.1,23.35,83,65,0.93,PT,1667397029
285,price,39.5994,-110.8107,5.59,52,75,3.09,US,1667397029
286,usinsk,65.9939,57.5281,-8.46,92,97,3.94,RU,1667397029
287,san francisco,37.7749,-122.4194,11.06,85,20,2.57,US,1667396886
288,guaratinga,-16.5667,-39.5667,24.82,83,98,2.21,BR,1667397031
289,half moon bay,37.4636,-122.4286,11.03,89,100,2.57,US,1667397031
290,darnah,32.767,22.6367,21.93,64,0,7.59,LY,1667397032
291,vila franca do campo,37.7167,-25.4333,21.78,93,100,7.43,PT,1667397033
292,santa isabel do rio negro,-0.4139,-65.0192,23.19,96,100,1.85,BR,1667397033
293,krasnogorodsk,56.8357,28.2822,8.52,83,100,0.76,RU,1667397039
294,lumajang,-8.1335,113.2248,24.7,93,100,0.16,ID,1667396771
295,kommunar,59.6206,30.39,5.74,93,100,0.51,RU,1667397040
296,valdosta,30.8327,-83.2785,19.39,75,0,2.57,US,1667397041
297,miraflores,19.2167,-98.8083,11.65,76,16,1.46,MX,1667397041
298,isangel,-19.55,169.2667,24.49,87,4,2.48,VU,1667397042
299,salinopolis,-0.6136,-47.3561,30.87,60,89,2.41,BR,1667397042
300,doha,25.2867,51.5333,34.17,42,0,5.66,QA,1667397042
301,dera bugti,29.0307,69.151,26.59,32,36,1.18,PK,1667397042
302,sorong,-0.8833,131.25,28.0,77,100,1.97,ID,1667397043
303,bereda,43.2686,-7.5406,15.79,75,100,2.41,ES,1667397043
304,ambilobe,-13.2,49.05,26.86,63,99,2.37,MG,1667397043
305,pangkalanbuun,-2.6833,111.6167,24.44,93,100,0.65,ID,1667396762
306,akcakoca,41.0866,31.1162,17.1,48,1,0.76,TR,1667397044
307,kingsville,27.5159,-97.8561,19.05,96,100,3.09,US,1667397045
308,mahibadhoo,3.7833,72.9667,27.79,76,10,5.54,MV,1667397045
309,surt,31.2089,16.5887,22.74,61,69,5.7,LY,1667397045
310,acapulco,16.8634,-99.8901,25.83,82,3,1.21,MX,1667397046
311,quatre cocos,-20.2078,57.7625,25.06,74,15,5.97,MU,1667397046
312,mecca,21.4267,39.8261,30.86,39,71,7.46,SA,1667396846
313,liepaja,56.5419,21.0367,11.99,94,100,3.6,LV,1667397046
314,vao,-22.6667,167.4833,23.9,84,100,2.96,NC,1667397047
